input_name,search_name,matched_uri,match_count
"Glareola maldivarum","Glareola maldivarum","http://biodiversity.org.au/afd.taxon/1265b13a-52b4-462f-8b28-0575df7ff68d",1
"Hirundapus caudacutus","Hirundapus caudacutus","http://biodiversity.org.au/afd.taxon/6485cd0c-f104-4950-8cdf-be4d09fc6bbc",1
"Hirundo rustica","Hirundo rustica","http://biodiversity.org.au/afd.taxon/45a68d2a-c97f-4c82-ac4b-14db0f68a814",2
"Hirundo rustica","Hirundo rustica","http://biodiversity.org.au/afd.taxon/31cb44bf-7a5b-4ecd-a48c-7a7972ef20af",2
"Hydrobates matsudairae","Hydrobates matsudairae","http://biodiversity.org.au/afd.taxon/d3093de6-25da-41e9-be3d-d91820b862c3",1
"Hydrobates monorhis","Hydrobates monorhis","http://biodiversity.org.au/afd.taxon/42d3f3e2-b310-4515-aa96-304d232d172b",1
"Hydroprogne caspia","Hydroprogne caspia","http://biodiversity.org.au/afd.taxon/da1e1bf2-3684-4eea-b579-1d83507c020d",1
"Isurus oxyrinchus","Isurus oxyrinchus","http://biodiversity.org.au/afd.taxon/aa8790f9-977b-46cf-a8d3-3532c59f81ff",1
"Isurus paucus","Isurus paucus","http://biodiversity.org.au/afd.taxon/dc021586-78cb-41f3-97db-c9b2bb218074",1
"Lagenodelphis hosei SE Asian population","Lagenodelphis hosei","http://biodiversity.org.au/afd.taxon/9a3c1090-cf5f-40bf-a663-62a9a21509d6",1
"Lagenorhynchus obscurus","Lagenorhynchus obscurus","http://biodiversity.org.au/afd.taxon/c96da60f-c179-43b5-8b6b-438264a91f65",1
"Lamna nasus","Lamna nasus","http://biodiversity.org.au/afd.taxon/e0cb8aab-2a4a-467f-b420-958d21cd91c8",1
"Lepidochelys olivacea","Lepidochelys olivacea","http://biodiversity.org.au/afd.taxon/9a977391-19d1-407a-b979-5d0fa4c49f32",1
"Limnodromus semipalmatus","Limnodromus semipalmatus","http://biodiversity.org.au/afd.taxon/40d07e9c-276c-4dae-8691-813785a3b3e1",1
"Limosa lapponica","Limosa lapponica","http://biodiversity.org.au/afd.taxon/0068714f-cc38-49e8-9541-7ff0e796b5f9",1
"Limosa limosa","Limosa limosa","http://biodiversity.org.au/afd.taxon/70b173fb-a9cc-4b73-a9ee-598d1b5289a6",1
"Macronectes giganteus","Macronectes giganteus","http://biodiversity.org.au/afd.taxon/4fbd4b05-2035-46d9-b4a3-2a177b1d4f44",1
"Macronectes halli","Macronectes halli","http://biodiversity.org.au/afd.taxon/b4971f23-99a4-419f-bf99-549741781cf9",1
"Megaptera novaeangliae","Megaptera novaeangliae","http://biodiversity.org.au/afd.taxon/5295f399-684a-47b9-95b8-ebc35119e338",1
"Mobula alfredi","Mobula alfredi","http://biodiversity.org.au/afd.taxon/68ec3f26-dcfb-4467-9deb-b3db3a3ac744",1
"Mobula birostris","Mobula birostris","http://biodiversity.org.au/afd.taxon/37dd0455-e35f-483b-882a-ad959a5c96d2",1
"Mobula eregoodoo","Mobula eregoodoo","http://biodiversity.org.au/afd.taxon/db2b1673-da53-47c6-9909-74af3a00dd7f",1
"Mobula mobular","Mobula mobular","http://biodiversity.org.au/afd.taxon/77fde225-ce12-48fe-b697-60619d05159d",1
"Mobula thurstoni","Mobula thurstoni","http://biodiversity.org.au/afd.taxon/e3d014e2-456a-4ef8-8f5c-969263574a6e",1
"Motacilla cinerea","Motacilla cinerea","http://biodiversity.org.au/afd.taxon/e0967c92-d815-44e3-965c-0e797dce3a3c",1
"Motacilla flava","Motacilla flava","http://biodiversity.org.au/afd.taxon/f3fe4741-7ce1-4f3f-8d73-1d6b8d365133",2
"Motacilla flava","Motacilla flava","http://biodiversity.org.au/afd.taxon/3e766c3d-5de2-43c8-9710-07e4be1245e2",2
"Natator depressus","Natator depressus","http://biodiversity.org.au/afd.taxon/10df901b-8003-42bf-9885-7700f6ff9a88",1
"Numenius madagascariensis","Numenius madagascariensis","http://biodiversity.org.au/afd.taxon/5ff29bca-f02f-468f-9f96-9ae956015e01",1
"Numenius minutus","Numenius minutus","http://biodiversity.org.au/afd.taxon/0120164e-ebea-4367-863d-0bbf72ad8379",1
"Numenius phaeopus","Numenius phaeopus","http://biodiversity.org.au/afd.taxon/09d59f0a-e8fe-465c-9db3-13efc6a8e31c",2
